C4_-H_NaCa_2p,$[C_{4}H_{9}O_{4}CaNa]^{2+}$ I
C5_Ca_2p_I1,$[C_{5}H_{10}O_{5}Ca]^{2+}$ I1
C5_Ca_2p_I2,$[C_{5}H_{10}O_{5}Ca]^{2+}$ I2
C2_Ca_I1,$[C_{2}H_{3}O_{2}Ca]^{+}$ I1
C2_Ca_I2,$[C_{2}H_{3}O_{2}Ca]^{+}$ I2
C6-H2O_Ca_2p_I1,$[C_{6}H_{10}O_{5}Ca]^{2+}$ I1
C6-H2O_Ca_2p_I2,$[C_{6}H_{10}O_{5}Ca]^{2+}$ I2
C6_Ca_I1,$[C_{6}H_{12}O_{6}Ca]^{2+}$ I1
C6_Ca_I2,$[C_{6}H_{12}O_{6}Ca]^{2+}$ I2
C6_Ca_I3,$[C_{6}H_{12}O_{6}Ca]^{2+}$ I3
C6_Ca_I4,$[C_{6}H_{12}O_{6}Ca]^{2+}$ I4
C6_Ca_I5,$[C_{6}H_{12}O_{6}Ca]^{2+}$ I5
C6_Ca_I6,$[C_{6}H_{12}O_{6}Ca]^{2+}$ I6
C7-O_Ca_2p_I1,$[C_{7}H_{14}O_{6}Ca]^{2+}$ I1
C7-O_Ca_2p_I2,$[C_{7}H_{14}O_{6}Ca]^{2+}$ I2
C7-O_Ca_2p_I3,$[C_{7}H_{14}O_{6}Ca]^{2+}$ I3
C6+H2O_Ca_2p_I1,$[C_{6}H_{14}O_{7}Ca]^{2+}$ I1
C6+H2O_Ca_2p_I2,$[C_{6}H_{14}O_{7}Ca]^{2+}$ I2
C6+H2O_Ca_2p_I3,$[C_{6}H_{14}O_{7}Ca]^{2+}$ I3
C6+H2O_Ca_2p_I4,$[C_{6}H_{14}O_{7}Ca]^{2+}$ I4
C7_Ca_2p_I1,$[C_{7}H_{14}O_{7}Ca]^{2+}$ I1
C7_Ca_2p_I2,$[C_{7}H_{14}O_{7}Ca]^{2+}$ I2
C7_Ca_2p_I3,$[C_{7}H_{14}O_{7}Ca]^{2+}$ I3
C7_+H2_Ca_2p_I1,$[C_{7}H_{16}O_{7}Ca]^{2+}$ I1
C7_+H2_Ca_2p_I2,$[C_{7}H_{16}O_{7}Ca]^{2+}$ I2
C7_+H2_Ca_2p_I3,$[C_{7}H_{16}O_{7}Ca]^{2+}$ I3
C7_+H2_Ca_2p_I4,$[C_{7}H_{16}O_{7}Ca]^{2+}$ I4
C7_+H2_Ca_2p_I5,$[C_{7}H_{16}O_{7}Ca]^{2+}$ I5
C6+2H2O_Ca_2p_I1,$[C_{6}H_{16}O_{8}Ca]^{2+}$ I1
C6+2H2O_Ca_2p_I2,$[C_{6}H_{16}O_{8}Ca]^{2+}$ I2
C6+2H2O_Ca_2p_I3,$[C_{6}H_{16}O_{8}Ca]^{2+}$ I3
C6+2H2O_Ca_2p_I4,$[C_{6}H_{16}O_{8}Ca]^{2+}$ I4
C3_Ca_I1,$[C_{3}H_{5}O_{3}Ca]^{+}$ I1
C7+H2O_Ca_2p_I1,$[C_{7}H_{16}O_{8}Ca]^{2+}$ I1
C7+H2O_Ca_2p_I2,$[C_{7}H_{16}O_{8}Ca]^{2+}$ I2
C7+H2O_Ca_2p_I3,$[C_{7}H_{16}O_{8}Ca]^{2+}$ I3
C7+H2O_Ca_2p_I4,$[C_{7}H_{16}O_{8}Ca]^{2+}$ I4
C9-O2_Ca_2p_I1,$[C_{9}H_{18}O_{7}Ca]^{2+}$ I1
C9-O2_Ca_2p_I2,$[C_{9}H_{18}O_{7}Ca]^{2+}$ I2
C9-O2_Ca_2p_I3,$[C_{9}H_{18}O_{7}Ca]^{2+}$ I3
C9-O2_Ca_2p_I4,$[C_{9}H_{18}O_{7}Ca]^{2+}$ I4
C8_Ca_2p_I1,$[C_{8}H_{16}O_{8}Ca]^{2+}$ I1
C8_Ca_2p_I2,$[C_{8}H_{16}O_{8}Ca]^{2+}$ I2
C8_Ca_2p_I3,$[C_{8}H_{16}O_{8}Ca]^{2+}$ I3
C8_Ca_2p_I4,$[C_{8}H_{16}O_{8}Ca]^{2+}$ I4
C8_+H2_Ca_2p_I1,$[C_{8}H_{18}O_{8}Ca]^{2+}$ I1
C8_+H2_Ca_2p_I2,$[C_{8}H_{18}O_{8}Ca]^{2+}$ I2
C8_+H2_Ca_2p_I3,$[C_{8}H_{18}O_{8}Ca]^{2+}$ I3
C7+2H2O_Ca_2p_I1,$[C_{7}H_{18}O_{9}Ca]^{2+}$ I1
C7+2H2O_Ca_2p_I2,$[C_{7}H_{18}O_{9}Ca]^{2+}$ I2
C7+2H2O_Ca_2p_I3,$[C_{7}H_{18}O_{9}Ca]^{2+}$ I3
C9-O_Ca_2p_I1,$[C_{9}H_{18}O_{8}Ca]^{2+}$ I1
C9-O_Ca_2p_I2,$[C_{9}H_{18}O_{8}Ca]^{2+}$ I2
C9-O_Ca_2p_I3,$[C_{9}H_{18}O_{8}Ca]^{2+}$ I3
C9-O_Ca_2p_I4,$[C_{9}H_{18}O_{8}Ca]^{2+}$ I4
C8+H2O_Ca_2p_I1,$[C_{8}H_{18}O_{9}]^{2+}$ I1
C8+H2O_Ca_2p_I2,$[C_{8}H_{18}O_{9}]^{2+}$ I2
C8+H2O_Ca_2p_I3,$[C_{8}H_{18}O_{9}]^{2+}$ I3
C8+H2O_Ca_2p_I4,$[C_{8}H_{18}O_{9}]^{2+}$ I4
C9_Ca_2p_I1,$[C_{9}H_{18}O_{9}Ca]^{2+}$ I1
C9_Ca_2p_I2,$[C_{9}H_{18}O_{9}Ca]^{2+}$ I2
C9_Ca_2p_I3,$[C_{9}H_{18}O_{9}Ca]^{2+}$ I3
C9_Ca_2p_I4,$[C_{9}H_{18}O_{9}Ca]^{2+}$ I4
C4_Ca_I1,$[C_{4}H_{7}O_{4}Ca]^{+}$ I1
C4_Ca_I2,$[C_{4}H_{7}O_{4}Ca]^{+}$ I2
C9+H2O_Ca_2p_I1,$[C_{9}H_{20}O_{10}Ca]^{2+}$ I1
C9+H2O_Ca_2p_I2,$[C_{9}H_{20}O_{10}Ca]^{2+}$ I2
C9+H2O_Ca_2p_I3,$[C_{9}H_{20}O_{10}Ca]^{2+}$ I3
C9+H2O_Ca_2p_I4,$[C_{9}H_{20}O_{10}Ca]^{2+}$ I4
C10_Ca_2p_I1,$[C_{10}H_{20}O_{10}Ca]^{2+}$ I1
C10_Ca_2p_I2,$[C_{10}H_{20}O_{10}Ca]^{2+}$ I2
C10_Ca_2p_I3,$[C_{10}H_{20}O_{10}Ca]^{2+}$ I3
C10_Ca_2p_I4,$[C_{10}H_{20}O_{10}Ca]^{2+}$ I4
C5_Na_I1,$[C_{5}H_{10}O_{5}Na]^{+}$ I1
C5_Na_I2,$[C_{5}H_{10}O_{5}Na]^{+}$ I2
C10+H2O_Ca_2p_I1,$[C_{10}H_{22}O_{11}Ca]^{2+}$ I1
C10+H2O_Ca_2p_I2,$[C_{10}H_{22}O_{11}Ca]^{2+}$ I2
C10+H2O_Ca_2p_I3,$[C_{10}H_{22}O_{11}Ca]^{2+}$ I3
C11_Ca_2p_I1,$[C_{11}H_{24}O_{11}Ca]^{2+}$ I1
C11_Ca_2p_I2,$[C_{11}H_{24}O_{11}Ca]^{2+}$ I2
C6-H2O_Na_I1,$[C_{6}H_{10}O_{5}Na]^{+}$ I1
C6-H2O_Na_I2,$[C_{6}H_{10}O_{5}Na]^{+}$ I2
C6-H2O_Na_I3,$[C_{6}H_{10}O_{5}Na]^{+}$ I3
C6-H2O_Na_I4,$[C_{6}H_{10}O_{5}Na]^{+}$ I4
C11+H2O_Ca_2p_I1,$[C_{11}H_{24}O_{12}Ca]^{2+}$ I1
C11+H2O_Ca_2p_I2,$[C_{11}H_{24}O_{12}Ca]^{2+}$ I2
C11+H2O_Ca_2p_I3,$[C_{11}H_{24}O_{12}Ca]^{2+}$ I3
C7-O-H2O_Na_I1,$[C_{7}H_{12}O_{5}Na]^{+}$ I1
C7-O-H2O_Na_I2,$[C_{7}H_{12}O_{5}Na]^{+}$ I2
C7-O-H2O_Na_I3,$[C_{7}H_{12}O_{5}Na]^{+}$ I3
C7-O-H2O_Na_I4,$[C_{7}H_{12}O_{5}Na]^{+}$ I4
C7-O-H2O_Na_I5,$[C_{7}H_{12}O_{5}Na]^{+}$ I5
C7-O-H2O_Na_I6,$[C_{7}H_{12}O_{5}Na]^{+}$ I6
C12_Ca_2p_I1,$[C_{12}H_{24}O_{12}Ca]^{2+}$ I1
C12_Ca_2p_I2,$[C_{12}H_{24}O_{12}Ca]^{2+}$ I2
C12_Ca_2p_I3,$[C_{12}H_{24}O_{12}Ca]^{2+}$ I3
C6_Na_I1,$[C_{6}H_{12}O_{6}Na]^{+}$ I1
C6_Na_I2,$[C_{6}H_{12}O_{6}Na]^{+}$ I2
C6_Na_I3,$[C_{6}H_{12}O_{6}Na]^{+}$ I3
C6_Na_I4,$[C_{6}H_{12}O_{6}Na]^{+}$ I4
C12+H2O_Ca_2p_I1,$[C_{12}H_{26}O_{13}Ca]^{2+}$ I1
C12+H2O_Ca_2p_I2,$[C_{12}H_{26}O_{13}Ca]^{2+}$ I2
C12+H2O_Ca_2p_I3,$[C_{12}H_{26}O_{13}Ca]^{2+}$ I3
C7_Na_I1,$[C_{7}H_{14}O_{7}Na]^{+}$ I1
C7_Na_I2,$[C_{7}H_{14}O_{7}Na]^{+}$ I2
C7_Na_I3,$[C_{7}H_{14}O_{7}Na]^{+}$ I3
